INDEX,US,EU,JP,US TITLE,EU TITLE,JP TITLE
,0,,,2048,,
,0,,,Animal Crossing: Happy Home Designer,,
,0,,,Animal Crossing: New Leaf,,
,0,,,Animal Crossing: New Leaf - Welcome amiibo,,
,0,,,Apollo Justice: Ace Attorney,,
,0,,,AR Games,,
,0,,,Art Academy: Lessons for Everyone!,,
,0,,,Beyond the Labyrinth,,
,0,,,Captain Toad: Treasure Tracker,,
,0,,,Cave Story,,
,0,,,Cave Story 3D,,
,0,,,Chibi-Robo! Zip Lash,,
,0,,,Code of Princess,,
,0,,,Colors! 3D,,
,0,,,Cooking Mama 4: Kitchen Magic,,
,0,,,Cooking Mama 5: Bon Appétit!,,
,0,,,Cooking Mama: Sweet Shop,,
,0,,,CRIMSON SHROUD,,
,0,,,Culdcept Revolt,,
,0,,,Cut the Rope,,
,0,,,Detective Pikachu,,
,0,,,Disney Art Academy,,
,0,,,Donkey Kong Country Returns 3D,,
,0,,,Dr. Mario: Miracle Cure,,
,0,,,Dragon Quest Heroes: Rocket Slime 3 - Pirate & Platywag,,
,0,,,Dragon Quest Monsters: Joker 3,,
,0,,,Dragon Quest Monsters: Joker 3 Professional,,
,0,,,Dragon Quest Monsters: Terry’s Wonderland 3D,,
,0,,,Dragon Quest VII: Fragments of the Forgotten Past,,
,0,,,Dragon Quest VIII: Journey of the Cursed King,,
,0,,,Ever Oasis,,
,0,,,Face Raiders,,
,0,,,Fantasy Life,,
,0,,,FINAL FANTASY EXPLORERS,,
,0,,,Fire Emblem Echoes: Shadows of Valentia,,
,0,,,Flipnote Studio 3D,,
,0,,,Harvest Moon 3D: A New Beginning,,
,0,,,Harvest Moon 3D: The Tale of Two Towns,,
,0,,,Harvest Moon 3D: The Tale of Two Towns+,,
,0,,,Hatsune Miku: Project Mirai DX,,
,0,,,Hey! Pikmin,,
,0,,,Hyrule Warriors Legends,,
,0,,,Inazuma Eleven,,
,0,,,Jake Hunter Detective Story: Ghost of Dusk,,
,0,,,Kid Icarus: Uprising,,
,0,,,Kingdom Hearts 3D: Dream Drop Distance,,
,0,,,Kirby Battle Royale,,
,0,,,Kirby: Planet Robobot,,
,0,,,Kirby: Triple Deluxe,,
,0,,,Kirby's Extra Epic Yarn,,
,0,,,LEGO City Undercover: The Chase Begins,,
,0,,,LEGO Star Wars: The Force Awakens,,
,0,,,LIBERATION MAIDEN,,
,0,,,Luigi's Mansion,,
,0,,,Luigi's Mansion 2: Dark Moon,,
,0,,,Mario & Luigi: Bowser's Inside Story DX,,
,0,,,Mario & Luigi: Dream Team,,
,0,,,Mario & Luigi: Paper Jam,,
,0,,,Mario & Luigi: Superstar Saga DX,,
,0,,,Mario & Sonic at the London 2012 Olympic Games,,
,0,,,Mario & Sonic at the Rio 2016 Olympic Games,,
,0,,,Mario and Donkey Kong: Minis on the Move,,
,0,,,Mario Golf: World Tour,,
,0,,,Mario Kart 7,,
,0,,,Mario Party: Island Tour,,
,0,,,Mario Party: Star Rush,,
,0,,,Mario Party: The Top 100,,
,0,,,Mario Sports Superstars,,
,0,,,Mario Tennis Open,,
,0,,,Mario vs. Donkey Kong: Tipping Stars,,
,0,,,Mega Man Legacy Collection,,
,0,,,Metal Gear Solid: Snake Eater 3D,,
,0,,,Metroid: Samus Returns,,
,0,,,Mighty Switch Force!,,
,0,,,Mighty Switch Force! 2,,
,0,,,Mii Plaza,,
,0,,,Miitopia,,
,0,,,Minecraft: New Nintendo 3DS Edition,,
,0,,,Monster Hunter 3 Ultimate,,
,0,,,Monster Hunter 4 Ultimate,,
,0,,,Monster Hunter Generations,,
,0,,,Monster Hunter Stories,,
,0,,,New Super Mario Bros. 2,,
,0,,,Nintendo Badge Arcade,,
,0,,,Nintendogs + Cats: Toy Poodle & New Friends,,
,0,,,Paper Mario: Sticker Star,,
,0,,,Persona Q: Shadow of the Labyrinth,,
,0,,,Persona Q2: New Cinema Labyrinth,,
,0,,,Phoenix Wright: Ace Attorney - Dual Destinies,,
,0,,,Phoenix Wright: Ace Attorney - Spirit of Justice,,
,0,,,Phoenix Wright: Ace Attorney Trilogy,,
,0,,,Photos with Animal Crossing,,
,0,,,Photos with Mario,,
,0,,,PilotWings Resort,,
,0,,,Pokémon Alpha Sapphire,,
,0,,,Pokémon Art Academy,,
,0,,,Pokémon Moon,,
,0,,,Pokémon Omega Ruby,,
,0,,,Pokémon Picross,,
,0,,,Pokémon Rumble Blast,,
,0,,,Pokémon Rumble World,,
,0,,,Pokémon Shuffle,,
,0,,,Pokémon Sun,,
,0,,,Pokémon Super Mystery Dungeon,,
,0,,,Pokémon Ultra Moon,,
,0,,,Pokémon Ultra Sun,,
,0,,,Pokémon X,,
,0,,,Pokémon Y,,
,0,,,Poochy & Yoshi's Woolly World,,
,0,,,Professor Layton and the Azran Legacy,,
,0,,,Professor Layton and the Miracle Mask,,
,0,,,Professor Layton vs. Phoenix Wright: Ace Attorney,,
,0,,,Pushmo,,
,0,,,Puyo Puyo Chronicle,,
,0,,,Puyo Puyo Tetris,,
,0,,,Radiant Historia: Perfect Chronology,,
,0,,,Rayman Origins,,
,0,,,Return to PopoloCrois: A STORY OF SEASONS Fairytale,,
,0,,,Rhythm Heaven Megamix,,
,0,,,River City: Tokyo Rumble,,
,0,,,Shantae and the Pirate's Curse,,
,0,,,Shin Megami Tensei IV,,
,0,,,Shin Megami Tensei IV: Apocalypse,,
,0,,,Shin Megami Tensei: Devil Summoner: Soul Hackers,,
,0,,,Shin Megami Tensei: Devil Survivor 2: Record Breaker,,
,0,,,Shin Megami Tensei: Devil Survivor Overclocked,,
,0,,,Shin Megami Tensei: Strange Journey Redux,,
,0,,,Shovel Knight,,
,0,,,SmileBASIC,,
,0,,,Sonic & All-Stars Racing Transformed,,
,0,,,Sonic Boom: Fire & Ice,,
,0,,,Sonic Boom: Shattered Crystal,,
,0,,,Sonic Generations,,
,0,,,Sonic Lost World,,
,0,,,Star Fox 64 3D,,
,0,,,STORY OF SEASONS,,
,0,,,STORY OF SEASONS: Trio of Towns,,
,0,,,Super Mario 3D Land,,
,0,,,Super Mario Maker for Nintendo 3DS,,
,0,,,Super Monkey Ball 3D,,
,0,,,Super Smash Bros.,,
,0,,,Super Street Fighter IV: 3D Edition,,
,0,,,Sushi Striker: The Way of Sushido,,
,0,,,Terraria,,
,0,,,Tetris Ultimate,,
,0,,,THE DENPA MEN 2: Beyond the Waves,,
,0,,,THE DENPA MEN 3: Rise of Digitoll,,
,0,,,THE DENPA MEN: They Came By Wave,,
,0,,,The Great Ace Attorney 2: The Resolve of Ryunosuke Naruhodo,,
,0,,,The Great Ace Attorney: The Adventure of Ryunosuke Naruhodo,,
,0,,,The Legend of Zelda: A Link Between Worlds,,
,0,,,The Legend of Zelda: Majoras Mask 3D,,
,0,,,The Legend of Zelda: Ocarina of Time 3D,,
,0,,,The Legend of Zelda: Tri Force Heroes,,
,0,,,The Sims 3,,
,0,,,Tomodachi Life,,
,0,,,Ultimate NES Remix,,
,0,,,Virtual Console,,
,0,,,WarioWare Gold,,
,0,,,WEAPON SHOP de OMASSE,,
,0,,,Xenoblade Chronicles 3D,,
,0,,,YO-KAI WATCH,,
,0,,,YO-KAI WATCH 2: Bony Spirits,,
,0,,,YO-KAI WATCH 2: Fleshy Souls,,
,0,,,YO-KAI WATCH 2: Psychic Specters,,
,0,,,Yoshi's New Island,,
